package_id,phase,target_stable_id,category,native_order_or_observed_order,visible_label_or_index,source_video_id,source_timestamp_range,evidence_ids,verifier_record_fields_status,verifier_evidence_files_status,verifier_final_disposition,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,7,Skin Tone 07,phase0-video-004,27-28,phase0-frame-video-004-tl-010,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,8,Skin Tone 08,phase0-video-004,25-26,phase0-frame-video-004-tl-009,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_009,Skin Tone,9,Skin Tone 09,phase0-video-004,8-11,phase0-frame-video-004-tl-002,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_010,Skin Tone,10,Skin Tone 10,phase0-video-004,14-14,phase0-frame-video-004-tl-017;phase0-frame-video-004-tl-004,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_011,Skin Tone,11,Skin Tone 11,phase0-video-004,50-51,phase0-frame-video-004-tl-022,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_012,Skin Tone,12,Skin Tone 12,phase0-video-004,43-44,phase0-frame-video-004-tl-018,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_013,Skin Tone,13,Skin Tone 13,phase0-video-004,39-40,phase0-frame-video-004-tl-016,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_017,Skin Tone,17,Skin Tone 17,phase0-video-004,37-38,phase0-frame-video-004-tl-015,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,18,Skin Tone 18,phase0-video-004,20-22,phase0-frame-video-004-tl-007,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_019,Skin Tone,19,Skin Tone 19,phase0-video-004,17-19,phase0-frame-video-004-tl-006,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_020,Skin Tone,20,Skin Tone 20,phase0-video-004,15-16,phase0-frame-video-004-tl-005,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,21,Skin Tone 21,phase0-video-004,23-24,phase0-frame-video-004-tl-008,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_022,Skin Tone,22,Skin Tone 22,phase0-video-004,35-36,phase0-frame-video-004-tl-014,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_023,Skin Tone,23,Skin Tone 23,phase0-video-004,52-53.82,phase0-frame-video-004-tl-023,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_024,Skin Tone,24,Skin Tone 24,phase0-video-004,33-34,phase0-frame-video-004-tl-013,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,POST_INDEPENDENT_COUNT_REVIEW,CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Skin Tone,29,Skin Tone 29,phase0-video-004,31-32,phase0-frame-video-004-tl-012,notChecked,notChecked,NOT_VERIFIED,Open only after blind independent counts are complete. Do not treat primary review as verification.
