suggestionID,category,code,priority,severity,timelineIDs,labels,nativeOrders,confidence,message,reviewAction,factStatus
seq-skinTone-skippedIndices-video_004_tl_022_video_004_tl_023_Skin_Tone_11_Skin_Tone_23_11_23,Skin Tone,skippedIndices,high,review,video-004-tl-022|video-004-tl-023,Skin Tone 11|Skin Tone 23,11|23,0.75,Chronological selection jumped by 12 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_007_video_004_tl_008_Skin_Tone_18_Skin_Tone_21_18_21,Skin Tone,accidentalJump,medium,review,video-004-tl-007|video-004-tl-008,Skin Tone 18|Skin Tone 21,18|21,0.55,Large selector movement from Skin Tone 18 to Skin Tone 21 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_013_video_004_tl_014_Skin_Tone_24_Skin_Tone_22_24_22,Skin Tone,accidentalJump,medium,review,video-004-tl-013|video-004-tl-014,Skin Tone 24|Skin Tone 22,24|22,0.55,Large selector movement from Skin Tone 24 to Skin Tone 22 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_016_video_004_tl_017_Skin_Tone_13_Skin_Tone_10_13_10,Skin Tone,accidentalJump,medium,review,video-004-tl-016|video-004-tl-017,Skin Tone 13|Skin Tone 10,13|10,0.55,Large selector movement from Skin Tone 13 to Skin Tone 10 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-accidentalJump-video_004_tl_017_video_004_tl_018_Skin_Tone_10_Skin_Tone_12_10_12,Skin Tone,accidentalJump,medium,review,video-004-tl-017|video-004-tl-018,Skin Tone 10|Skin Tone 12,10|12,0.55,Large selector movement from Skin Tone 10 to Skin Tone 12 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinTone-candidateRecordWithoutTimelineSelection-Skin_Tone_05_5,Skin Tone,candidateRecordWithoutTimelineSelection,medium,review,,Skin Tone 05,5,0.75,Skin Tone 05 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-skinTone-candidateRecordWithoutTimelineSelection-Skin_Tone_14_14,Skin Tone,candidateRecordWithoutTimelineSelection,medium,review,,Skin Tone 14,14,0.75,Skin Tone 14 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-skinTone-candidateRecordWithoutTimelineSelection-Skin_Tone_15_15,Skin Tone,candidateRecordWithoutTimelineSelection,medium,review,,Skin Tone 15,15,0.75,Skin Tone 15 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-skinTone-candidateRecordWithoutTimelineSelection-Skin_Tone_16_16,Skin Tone,candidateRecordWithoutTimelineSelection,medium,review,,Skin Tone 16,16,0.75,Skin Tone 16 exists as a candidate record but was not matched to a deliberately selected timeline event.,Confirm the candidate selected-menu evidence and timeline mapping before publication.,review_suggestion_not_verified_game_fact
seq-skinTone-repeatedSelection-video_004_tl_004_video_004_tl_017_Skin_Tone_10_Skin_Tone_10_10,Skin Tone,repeatedSelection,medium,review,video-004-tl-004|video-004-tl-017,Skin Tone 10|Skin Tone 10,10,0.85,Skin Tone 10 appears more than once in deliberately selected timeline events.,"Confirm whether this is intentional overlap, selector wrap, or an accidental repeated selection before publication.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_005_video_004_tl_006_Skin_Tone_20_Skin_Tone_19_20_19,Skin Tone,reversedMovement,medium,review,video-004-tl-005|video-004-tl-006,Skin Tone 20|Skin Tone 19,20|19,0.8,Chronological selection moved backward from native order 20 to 19.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_006_video_004_tl_007_Skin_Tone_19_Skin_Tone_18_19_18,Skin Tone,reversedMovement,medium,review,video-004-tl-006|video-004-tl-007,Skin Tone 19|Skin Tone 18,19|18,0.8,Chronological selection moved backward from native order 19 to 18.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_009_video_004_tl_010_Skin_Tone_08_Skin_Tone_07_8_7,Skin Tone,reversedMovement,medium,review,video-004-tl-009|video-004-tl-010,Skin Tone 08|Skin Tone 07,8|7,0.8,Chronological selection moved backward from native order 8 to 7.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-reversedMovement-video_004_tl_010_video_004_tl_011_Skin_Tone_07_Skin_Tone_06_7_6,Skin Tone,reversedMovement,medium,review,video-004-tl-010|video-004-tl-011,Skin Tone 07|Skin Tone 06,7|6,0.8,Chronological selection moved backward from native order 7 to 6.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_007_video_004_tl_008_Skin_Tone_18_Skin_Tone_21_18_21,Skin Tone,skippedIndices,medium,review,video-004-tl-007|video-004-tl-008,Skin Tone 18|Skin Tone 21,18|21,0.75,Chronological selection jumped by 3 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_013_video_004_tl_014_Skin_Tone_24_Skin_Tone_22_24_22,Skin Tone,skippedIndices,medium,review,video-004-tl-013|video-004-tl-014,Skin Tone 24|Skin Tone 22,24|22,0.75,Chronological selection jumped by -2 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_016_video_004_tl_017_Skin_Tone_13_Skin_Tone_10_13_10,Skin Tone,skippedIndices,medium,review,video-004-tl-016|video-004-tl-017,Skin Tone 13|Skin Tone 10,13|10,0.75,Chronological selection jumped by -3 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinTone-skippedIndices-video_004_tl_017_video_004_tl_018_Skin_Tone_10_Skin_Tone_12_10_12,Skin Tone,skippedIndices,medium,review,video-004-tl-017|video-004-tl-018,Skin Tone 10|Skin Tone 12,10|12,0.75,Chronological selection jumped by 2 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinDetails-accidentalJump-video_005_tl_005_video_005_tl_006_Scar_2_Redness_2_4_8,Skin Details,accidentalJump,high,review,video-005-tl-005|video-005-tl-006,Scar 2|Redness 2,4|8,0.55,Large selector movement from Scar 2 to Redness 2 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinDetails-accidentalJump-video_005_tl_009_video_005_tl_010_Scar_1_Redness_1_5_9,Skin Details,accidentalJump,high,review,video-005-tl-009|video-005-tl-010,Scar 1|Redness 1,5|9,0.55,Large selector movement from Scar 1 to Redness 1 may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-skinDetails-incompleteSelectorEnding-video_005_tl_011_Freckles_1_10,Skin Details,incompleteSelectorEnding,high,review,video-005-tl-011,Freckles 1,10,0.85,Selector boundary is not proven complete for Skin Details.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-skinDetails-skippedIndices-video_005_tl_005_video_005_tl_006_Scar_2_Redness_2_4_8,Skin Details,skippedIndices,high,review,video-005-tl-005|video-005-tl-006,Scar 2|Redness 2,4|8,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinDetails-skippedIndices-video_005_tl_009_video_005_tl_010_Scar_1_Redness_1_5_9,Skin Details,skippedIndices,high,review,video-005-tl-009|video-005-tl-010,Scar 1|Redness 1,5|9,0.75,Chronological selection jumped by 4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-skinDetails-reversedMovement-video_005_tl_006_video_005_tl_007_Redness_2_Redness_3_8_7,Skin Details,reversedMovement,medium,review,video-005-tl-006|video-005-tl-007,Redness 2|Redness 3,8|7,0.8,Chronological selection moved backward from native order 8 to 7.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinDetails-reversedMovement-video_005_tl_007_video_005_tl_008_Redness_3_Acne_Scar_1_7_6,Skin Details,reversedMovement,medium,review,video-005-tl-007|video-005-tl-008,Redness 3|Acne Scar 1,7|6,0.8,Chronological selection moved backward from native order 7 to 6.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-skinDetails-reversedMovement-video_005_tl_008_video_005_tl_009_Acne_Scar_1_Scar_1_6_5,Skin Details,reversedMovement,medium,review,video-005-tl-008|video-005-tl-009,Acne Scar 1|Scar 1,6|5,0.8,Chronological selection moved backward from native order 6 to 5.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-eyeShape-incompleteSelectorEnding-video_006_tl_006_Hooded_5,Eye Shape,incompleteSelectorEnding,high,review,video-006-tl-006,Hooded,5,0.85,Selector boundary is not proven complete for Eye Shape.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-eyeColor-incompleteSelectorEnding-video_007_tl_008_Light_Green_5,Eye Color,incompleteSelectorEnding,high,review,video-007-tl-008,Light Green,5,0.85,Selector boundary is not proven complete for Eye Color.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-eyeColor-accidentalJump-video_007_tl_005_video_007_tl_006_Blue_Hazel_4_7,Eye Color,accidentalJump,medium,review,video-007-tl-005|video-007-tl-006,Blue|Hazel,4|7,0.55,Large selector movement from Blue to Hazel may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-eyeColor-reversedMovement-video_007_tl_006_video_007_tl_007_Hazel_Grey_7_6,Eye Color,reversedMovement,medium,review,video-007-tl-006|video-007-tl-007,Hazel|Grey,7|6,0.8,Chronological selection moved backward from native order 7 to 6.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-eyeColor-reversedMovement-video_007_tl_007_video_007_tl_008_Grey_Light_Green_6_5,Eye Color,reversedMovement,medium,review,video-007-tl-007|video-007-tl-008,Grey|Light Green,6|5,0.8,Chronological selection moved backward from native order 6 to 5.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-eyeColor-skippedIndices-video_007_tl_005_video_007_tl_006_Blue_Hazel_4_7,Eye Color,skippedIndices,medium,review,video-007-tl-005|video-007-tl-006,Blue|Hazel,4|7,0.75,Chronological selection jumped by 3 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-nose-accidentalJump-video_008_tl_002_video_008_tl_003_Aquiline_None_5_1,Nose,accidentalJump,high,review,video-008-tl-002|video-008-tl-003,Aquiline|None,5|1,0.55,Large selector movement from Aquiline to None may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-nose-incompleteSelectorEnding-video_008_tl_009_Aquiline_5,Nose,incompleteSelectorEnding,high,review,video-008-tl-009,Aquiline,5,0.85,Selector boundary is not proven complete for Nose.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-nose-reversedMovement-video_008_tl_002_video_008_tl_003_Aquiline_None_5_1,Nose,reversedMovement,high,review,video-008-tl-002|video-008-tl-003,Aquiline|None,5|1,0.8,Chronological selection moved backward from native order 5 to 1.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-nose-skippedIndices-video_008_tl_002_video_008_tl_003_Aquiline_None_5_1,Nose,skippedIndices,high,review,video-008-tl-002|video-008-tl-003,Aquiline|None,5|1,0.75,Chronological selection jumped by -4 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-nose-accidentalJump-video_008_tl_006_video_008_tl_007_Nubian_Funnel_4_7,Nose,accidentalJump,medium,review,video-008-tl-006|video-008-tl-007,Nubian|Funnel,4|7,0.55,Large selector movement from Nubian to Funnel may indicate an accidental jump or grid traversal.,Inspect the exact source timestamps and document the navigation intent.,review_suggestion_not_verified_game_fact
seq-nose-repeatedSelection-video_008_tl_002_video_008_tl_009_Aquiline_Aquiline_5,Nose,repeatedSelection,medium,review,video-008-tl-002|video-008-tl-009,Aquiline|Aquiline,5,0.85,Aquiline appears more than once in deliberately selected timeline events.,"Confirm whether this is intentional overlap, selector wrap, or an accidental repeated selection before publication.",review_suggestion_not_verified_game_fact
seq-nose-reversedMovement-video_008_tl_007_video_008_tl_008_Funnel_Roman_7_6,Nose,reversedMovement,medium,review,video-008-tl-007|video-008-tl-008,Funnel|Roman,7|6,0.8,Chronological selection moved backward from native order 7 to 6.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-nose-reversedMovement-video_008_tl_008_video_008_tl_009_Roman_Aquiline_6_5,Nose,reversedMovement,medium,review,video-008-tl-008|video-008-tl-009,Roman|Aquiline,6|5,0.8,Chronological selection moved backward from native order 6 to 5.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
seq-nose-skippedIndices-video_008_tl_006_video_008_tl_007_Nubian_Funnel_4_7,Nose,skippedIndices,medium,review,video-008-tl-006|video-008-tl-007,Nubian|Funnel,4|7,0.75,Chronological selection jumped by 3 native-order positions.,"Confirm whether intermediate options were skipped, visible only as thumbnails, or captured in another clip.",review_suggestion_not_verified_game_fact
seq-earShape-incompleteSelectorEnding-video_009_tl_006_Pointed_4,Ear Shape,incompleteSelectorEnding,high,review,video-009-tl-006,Pointed,4,0.85,Selector boundary is not proven complete for Ear Shape.,"Record first/final value, boundary, wrap behavior, and category exit evidence before production publication.",review_suggestion_not_verified_game_fact
seq-earShape-repeatedSelection-video_009_tl_002_video_009_tl_004_None_None_2,Ear Shape,repeatedSelection,medium,review,video-009-tl-002|video-009-tl-004,None|None,2,0.85,None appears more than once in deliberately selected timeline events.,"Confirm whether this is intentional overlap, selector wrap, or an accidental repeated selection before publication.",review_suggestion_not_verified_game_fact
seq-earShape-reversedMovement-video_009_tl_002_video_009_tl_003_None_Attached_Lobe_2_1,Ear Shape,reversedMovement,medium,review,video-009-tl-002|video-009-tl-003,None|Attached Lobe,2|1,0.8,Chronological selection moved backward from native order 2 to 1.,"Review the source frames to decide whether this is intentional reverse navigation, wrap, or a record-order issue.",review_suggestion_not_verified_game_fact
