capture_event_id,timeline_record_id,video_id,start_timestamp,end_timestamp,category,native_option,action,evidence_generated,issue_detected,verification_state,notes,head_research_catalog_id,head_native_option_number,head_research_flags
capture-phase0-video-005-tl-009,phase0-video-005-tl-009,phase0-video-005,23,24,SKIN DETAILS,Scar 1,selected_option_observed,phase0-frame-video-005-tl-009,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-010,phase0-video-005-tl-010,phase0-video-005,25,26,SKIN DETAILS,Redness 1,selected_option_observed,phase0-frame-video-005-tl-010,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-005-tl-011,phase0-video-005-tl-011,phase0-video-005,27,31.72,SKIN DETAILS,Freckles 1,selected_option_observed,phase0-frame-video-005-tl-011,,OBSERVED_PENDING_VERIFICATION,Selected native Skin Details label is directly readable; neighboring thumbnail tiles are non-selected.,,,
capture-phase0-video-006-tl-001,phase0-video-006-tl-001,phase0-video-006,0,13,Head & Skin navigation toward Eye Shape,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Navigation through prior Head Template/Skin Tone/Skin Details context into Eye Shape; prior labels are not newly indexed as selected Eye Shape options.,,,
capture-phase0-video-006-tl-002,phase0-video-006-tl-002,phase0-video-006,14,14,EYE SHAPE,Almond,selected_option_observed,phase0-frame-video-006-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Shape label is directly readable; adjacent eye thumbnails are non-selected.,,,
capture-phase0-video-006-tl-003,phase0-video-006-tl-003,phase0-video-006,15,16,EYE SHAPE,None,selected_option_observed,phase0-frame-video-006-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Shape label is directly readable; adjacent eye thumbnails are non-selected.,,,
capture-phase0-video-006-tl-004,phase0-video-006-tl-004,phase0-video-006,17,18,EYE SHAPE,Prominent,selected_option_observed,phase0-frame-video-006-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Shape label is directly readable; adjacent eye thumbnails are non-selected.,,,
capture-phase0-video-006-tl-005,phase0-video-006-tl-005,phase0-video-006,19,19,EYE SHAPE,Monolid,selected_option_observed,phase0-frame-video-006-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Shape label is directly readable; adjacent eye thumbnails are non-selected.,,,
capture-phase0-video-006-tl-006,phase0-video-006-tl-006,phase0-video-006,20,24.93,EYE SHAPE,Hooded,selected_option_observed,phase0-frame-video-006-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Shape label is directly readable; adjacent eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-001,phase0-video-007-tl-001,phase0-video-007,0,11,Head & Skin navigation toward Eye Color,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Navigation through prior tabs before Eye Color; prior labels are context only.,,,
capture-phase0-video-007-tl-002,phase0-video-007-tl-002,phase0-video-007,12,12,EYE COLOR,Light Blue,selected_option_observed,phase0-frame-video-007-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-003,phase0-video-007-tl-003,phase0-video-007,13,15,EYE COLOR,Light Brown,selected_option_observed,phase0-frame-video-007-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-004,phase0-video-007-tl-004,phase0-video-007,16,17,EYE COLOR,Brown,selected_option_observed,phase0-frame-video-007-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-005,phase0-video-007-tl-005,phase0-video-007,18,20,EYE COLOR,Blue,selected_option_observed,phase0-frame-video-007-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-006,phase0-video-007-tl-006,phase0-video-007,21,22,EYE COLOR,Hazel,selected_option_observed,phase0-frame-video-007-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-007,phase0-video-007-tl-007,phase0-video-007,23,24,EYE COLOR,Grey,selected_option_observed,phase0-frame-video-007-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-007-tl-008,phase0-video-007-tl-008,phase0-video-007,25,29.33,EYE COLOR,Light Green,selected_option_observed,phase0-frame-video-007-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected native Eye Color label is directly readable; neighboring eye thumbnails are non-selected.,,,
capture-phase0-video-008-tl-001,phase0-video-008-tl-001,phase0-video-008,0,13,Head & Skin navigation toward Nose,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Navigation through prior tabs before Nose; prior labels are context only.,,,
capture-phase0-video-008-tl-002,phase0-video-008-tl-002,phase0-video-008,14,14,NOSE,Aquiline,selected_option_observed,phase0-frame-video-008-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-003,phase0-video-008-tl-003,phase0-video-008,15,15,NOSE,None,selected_option_observed,phase0-frame-video-008-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-004,phase0-video-008-tl-004,phase0-video-008,16,18,NOSE,Hooked,selected_option_observed,phase0-frame-video-008-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-005,phase0-video-008-tl-005,phase0-video-008,19,20,NOSE,Button,selected_option_observed,phase0-frame-video-008-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-006,phase0-video-008-tl-006,phase0-video-008,21,22,NOSE,Nubian,selected_option_observed,phase0-frame-video-008-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-007,phase0-video-008-tl-007,phase0-video-008,23,24,NOSE,Funnel,selected_option_observed,phase0-frame-video-008-tl-007,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-008,phase0-video-008-tl-008,phase0-video-008,25,27,NOSE,Roman,selected_option_observed,phase0-frame-video-008-tl-008,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-008-tl-009,phase0-video-008-tl-009,phase0-video-008,28,32.45,NOSE,Aquiline,selected_option_observed,phase0-frame-video-008-tl-009,,OBSERVED_PENDING_VERIFICATION,Selected native Nose label is directly readable; neighboring nose thumbnails are non-selected.,,,
capture-phase0-video-009-tl-001,phase0-video-009-tl-001,phase0-video-009,0,15,Head & Skin navigation toward Ear Shape,,loading_or_transition,,transition_active,OBSERVED_PENDING_VERIFICATION,Navigation through prior tabs before Ear Shape; prior labels are context only.,,,
capture-phase0-video-009-tl-002,phase0-video-009-tl-002,phase0-video-009,16,17,EAR SHAPE,None,selected_option_observed,phase0-frame-video-009-tl-002,,OBSERVED_PENDING_VERIFICATION,Selected native Ear Shape label is directly readable; neighboring ear thumbnails are non-selected.,,,
capture-phase0-video-009-tl-003,phase0-video-009-tl-003,phase0-video-009,18,20,EAR SHAPE,Attached Lobe,selected_option_observed,phase0-frame-video-009-tl-003,,OBSERVED_PENDING_VERIFICATION,Selected native Ear Shape label is directly readable; neighboring ear thumbnails are non-selected.,,,
capture-phase0-video-009-tl-004,phase0-video-009-tl-004,phase0-video-009,21,22,EAR SHAPE,None,selected_option_observed,phase0-frame-video-009-tl-004,,OBSERVED_PENDING_VERIFICATION,Selected native Ear Shape label is directly readable; neighboring ear thumbnails are non-selected.,,,
capture-phase0-video-009-tl-005,phase0-video-009-tl-005,phase0-video-009,23,25,EAR SHAPE,Round Free Lobe,selected_option_observed,phase0-frame-video-009-tl-005,,OBSERVED_PENDING_VERIFICATION,Selected native Ear Shape label is directly readable; neighboring ear thumbnails are non-selected.,,,
capture-phase0-video-009-tl-006,phase0-video-009-tl-006,phase0-video-009,26,30.21,EAR SHAPE,Pointed,selected_option_observed,phase0-frame-video-009-tl-006,,OBSERVED_PENDING_VERIFICATION,Selected native Ear Shape label is directly readable; neighboring ear thumbnails are non-selected.,,,
